                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3082,                 2.7015,                 1.1944,                0.85431,                0.83252,                0.90738,                0.68879,                0.84702,                 1.2664,                0.98133,              0.0033189,              0.0033189,              0.0033189
                      2,                 1.1562,                 1.3141,                 1.1184,                0.89256,                0.88737,                 0.9131,                0.68983,                0.84352,                0.77186,                0.99376,              0.0065864,              0.0065864,              0.0065864
                      3,                 1.2059,                 1.0916,                  1.151,                0.83674,                0.73563,                0.86541,                0.61801,                 1.0392,                 1.1923,                 1.0643,              0.0097879,              0.0097879,              0.0097879
                      4,                 1.2433,                 1.0193,                 1.1743,                0.92017,                 0.8628,                0.91332,                0.69854,                0.89735,                0.87272,                 1.0054,               0.009703,               0.009703,               0.009703
                      5,                 1.2056,                0.89606,                 1.1505,                0.91187,                0.86682,                0.92399,                0.73688,                0.78634,                0.76292,                0.97466,               0.009604,               0.009604,               0.009604
                      6,                  1.148,                0.83369,                  1.135,                0.90583,                 0.8873,                0.94312,                0.75404,                0.75084,                0.64906,                 0.9585,               0.009505,               0.009505,               0.009505
                      7,                 1.1284,                 0.7819,                 1.1276,                 0.9403,                0.87933,                 0.9523,                0.78019,                 0.7619,                 0.6037,                0.95085,               0.009406,               0.009406,               0.009406
                      8,                 1.1132,                0.75309,                 1.1249,                0.94603,                0.90722,                0.95291,                0.80217,                0.67796,                0.54869,                0.92988,               0.009307,               0.009307,               0.009307
                      9,                  1.067,                0.70815,                 1.1027,                0.94247,                0.89232,                0.94188,                0.72467,                0.92572,                0.59874,                0.99423,               0.009208,               0.009208,               0.009208
                     10,                 1.0643,                0.69862,                 1.1035,                0.95169,                0.90834,                0.96119,                0.79732,                0.67472,                0.50693,                0.92774,               0.009109,               0.009109,               0.009109
                     11,                 1.0503,                0.68068,                  1.097,                0.93399,                0.91374,                0.96294,                0.80829,                0.64799,                 0.4995,                0.91426,                0.00901,                0.00901,                0.00901
                     12,                   1.04,                0.65717,                 1.0872,                0.93814,                0.92822,                 0.9631,                0.81327,                0.63844,                0.49135,                0.91779,               0.008911,               0.008911,               0.008911
                     13,                 1.0202,                0.63985,                 1.0783,                0.94692,                0.92915,                0.95939,                0.81828,                0.65818,                0.45947,                0.91551,               0.008812,               0.008812,               0.008812
                     14,                 1.0171,                0.63641,                 1.0759,                0.95047,                0.94272,                0.97063,                0.83532,                0.63211,                0.43547,                0.90656,               0.008713,               0.008713,               0.008713
                     15,                 1.0223,                0.62671,                 1.0734,                0.95224,                0.94464,                0.97454,                 0.8293,                0.63516,                0.42981,                0.90864,               0.008614,               0.008614,               0.008614
                     16,                0.99622,                0.60811,                 1.0636,                0.93551,                0.94027,                0.96671,                0.82907,                0.61461,                 0.4256,                0.90137,               0.008515,               0.008515,               0.008515
                     17,                0.99634,                0.60211,                 1.0621,                0.94983,                0.94324,                0.97293,                0.83751,                 0.6139,                0.43225,                 0.9051,               0.008416,               0.008416,               0.008416
                     18,                0.98362,                0.58266,                 1.0554,                0.96116,                 0.9203,                0.97171,                 0.8397,                0.59709,                0.42248,                0.89742,               0.008317,               0.008317,               0.008317
                     19,                0.97108,                0.58857,                 1.0551,                0.95547,                 0.9275,                 0.9698,                0.82732,                0.62021,                0.47963,                0.90349,               0.008218,               0.008218,               0.008218
                     20,                0.97005,                0.58329,                 1.0488,                 0.9533,                0.95765,                0.96984,                0.82866,                0.61247,                0.41363,                0.89385,               0.008119,               0.008119,               0.008119
                     21,                0.95955,                0.57749,                 1.0488,                0.96042,                0.92728,                0.96354,                0.82681,                0.61727,                0.43284,                 0.8966,                0.00802,                0.00802,                0.00802
                     22,                0.96241,                 0.5712,                 1.0493,                0.95221,                0.94027,                0.96977,                0.83431,                0.60122,                0.41373,                0.89466,               0.007921,               0.007921,               0.007921
